1154321Sebastiao Da Silva  0010000000020000000030000
2367890Alessandro Ferreira 0010000000001000000020050
2298765Patricia Santos     0500000500002000000400000
1323456Valentina Ribeiro   0600000000090000000070000
1287654Francisco Oliveira  0070000000300000000040000
2134567Marcelo Rodrigue    0040000000006000500300050
3289012Isabella Pereira    0000030000090000000900050
3245678Vinicius Martins    0000400500003000000040000
3110987Larissa Fernande    0020000000200000000900000
2376543Joao Victor Alves   0000400000000400000060000
2221098Beatriz Oliveira    0070000500070000500030000
3187609Guilherme Santos    0000900000100000000010050
1143210Natalia Pereira     0050000000060000000100000
1254320Leonardo Almeida    3000000000009000000700000
2212356Vanessa Rodrigues   0050000500002000500060050
2478901Rafael Martins      0400000000004000000007000
3365432Luiza Fernandes     0800300000034000000300000
4489076Fernando Costa      0090000000300000000080000
4354389Bruna Souza         0500000000006000000200050
4298701Lucas Pereira       2000000003000000009000000
